year,gender,age,value
1992,Male+,10 to 14 years,40790.0
1993,Male+,10 to 14 years,41154.0
1994,Male+,10 to 14 years,41262.0
1995,Male+,10 to 14 years,41409.0
1996,Male+,10 to 14 years,41457.0
1997,Male+,10 to 14 years,41361.0
1998,Male+,10 to 14 years,41251.0
1999,Male+,10 to 14 years,40782.0
2000,Male+,10 to 14 years,40397.0
2001,Male+,10 to 14 years,39700.0
2002,Male+,10 to 14 years,39387.0
2003,Male+,10 to 14 years,38972.0
2004,Male+,10 to 14 years,38169.0
2005,Male+,10 to 14 years,36766.0
2006,Male+,10 to 14 years,35556.0
2007,Male+,10 to 14 years,35309.0
2008,Male+,10 to 14 years,34908.0
2009,Male+,10 to 14 years,34586.0
2010,Male+,10 to 14 years,34258.0
2011,Male+,10 to 14 years,33963.0
2012,Male+,10 to 14 years,33947.0
2013,Male+,10 to 14 years,34059.0
2014,Male+,10 to 14 years,34492.0
2015,Male+,10 to 14 years,34434.0
2016,Male+,10 to 14 years,35019.0
2017,Male+,10 to 14 years,35692.0
2018,Male+,10 to 14 years,36849.0
2019,Male+,10 to 14 years,37944.0
2020,Male+,10 to 14 years,38972.0
2021,Male+,10 to 14 years,39696.0
2022,Male+,10 to 14 years,40476.0
2023,Male+,10 to 14 years,41741.0
1971,Male+,15 to 19 years,49228.0
1972,Male+,15 to 19 years,49294.0
1973,Male+,15 to 19 years,48888.0
1974,Male+,15 to 19 years,48606.0
1975,Male+,15 to 19 years,48943.0
1976,Male+,15 to 19 years,49811.0
1977,Male+,15 to 19 years,49787.0
1978,Male+,15 to 19 years,49747.0
1979,Male+,15 to 19 years,49663.0
1980,Male+,15 to 19 years,49437.0
1981,Male+,15 to 19 years,48530.0
1982,Male+,15 to 19 years,47040.0
1983,Male+,15 to 19 years,45246.0
1984,Male+,15 to 19 years,43445.0
1985,Male+,15 to 19 years,41766.0
1986,Male+,15 to 19 years,40982.0
1987,Male+,15 to 19 years,40108.0
1988,Male+,15 to 19 years,39214.0
1989,Male+,15 to 19 years,38308.0
1990,Male+,15 to 19 years,37861.0
1991,Male+,15 to 19 years,37742.0
1992,Male+,15 to 19 years,38064.0
1993,Male+,15 to 19 years,38500.0
1994,Male+,15 to 19 years,39276.0
1995,Male+,15 to 19 years,40007.0
1996,Male+,15 to 19 years,40874.0
1997,Male+,15 to 19 years,40737.0
1998,Male+,15 to 19 years,40754.0
1999,Male+,15 to 19 years,40947.0
2000,Male+,15 to 19 years,41232.0
2001,Male+,15 to 19 years,41432.0
2002,Male+,15 to 19 years,40784.0
2003,Male+,15 to 19 years,40290.0
2004,Male+,15 to 19 years,40005.0
2005,Male+,15 to 19 years,40077.0
2006,Male+,15 to 19 years,39931.0
2007,Male+,15 to 19 years,39582.0
2008,Male+,15 to 19 years,39439.0
2009,Male+,15 to 19 years,39310.0
2010,Male+,15 to 19 years,38920.0
2011,Male+,15 to 19 years,38479.0
2012,Male+,15 to 19 years,37925.0
2013,Male+,15 to 19 years,36934.0
2014,Male+,15 to 19 years,36376.0
2015,Male+,15 to 19 years,36405.0
2016,Male+,15 to 19 years,36289.0
2017,Male+,15 to 19 years,35862.0
2018,Male+,15 to 19 years,35678.0
2019,Male+,15 to 19 years,36032.0
2020,Male+,15 to 19 years,35945.0
2021,Male+,15 to 19 years,36158.0
2022,Male+,15 to 19 years,37130.0
2023,Male+,15 to 19 years,39041.0
1971,Male+,20 to 24 years,36189.0
1972,Male+,20 to 24 years,36632.0
1973,Male+,20 to 24 years,37303.0
1974,Male+,20 to 24 years,39094.0
1975,Male+,20 to 24 years,41390.0
1976,Male+,20 to 24 years,43449.0
1977,Male+,20 to 24 years,45192.0
1978,Male+,20 to 24 years,45990.0
1979,Male+,20 to 24 years,46125.0
1980,Male+,20 to 24 years,46172.0
1981,Male+,20 to 24 years,46240.0
1982,Male+,20 to 24 years,46528.0
1983,Male+,20 to 24 years,48091.0
1984,Male+,20 to 24 years,49473.0
1985,Male+,20 to 24 years,49749.0
1986,Male+,20 to 24 years,48116.0
1987,Male+,20 to 24 years,45647.0
1988,Male+,20 to 24 years,42306.0
1989,Male+,20 to 24 years,38943.0
1990,Male+,20 to 24 years,35632.0
1991,Male+,20 to 24 years,34197.0
1992,Male+,20 to 24 years,34069.0
1993,Male+,20 to 24 years,34348.0
1994,Male+,20 to 24 years,34339.0
1995,Male+,20 to 24 years,34961.0
1996,Male+,20 to 24 years,35589.0
1997,Male+,20 to 24 years,36019.0
1998,Male+,20 to 24 years,36273.0
1999,Male+,20 to 24 years,36676.0
2000,Male+,20 to 24 years,36193.0
2001,Male+,20 to 24 years,36053.0
2002,Male+,20 to 24 years,36458.0
2003,Male+,20 to 24 years,37081.0
2004,Male+,20 to 24 years,37700.0
2005,Male+,20 to 24 years,37414.0
2006,Male+,20 to 24 years,36873.0
2007,Male+,20 to 24 years,37287.0
2008,Male+,20 to 24 years,38121.0
2009,Male+,20 to 24 years,38952.0
2010,Male+,20 to 24 years,39681.0
2011,Male+,20 to 24 years,40132.0
2012,Male+,20 to 24 years,41045.0
2013,Male+,20 to 24 years,41749.0
2014,Male+,20 to 24 years,41494.0
2015,Male+,20 to 24 years,40763.0
2016,Male+,20 to 24 years,40066.0
2017,Male+,20 to 24 years,39755.0
2018,Male+,20 to 24 years,39007.0
2019,Male+,20 to 24 years,38671.0
2020,Male+,20 to 24 years,38185.0
2021,Male+,20 to 24 years,37532.0
2022,Male+,20 to 24 years,38043.0
2023,Male+,20 to 24 years,39724.0
1971,Male+,25 to 29 years,27563.0
1972,Male+,25 to 29 years,28407.0
1973,Male+,25 to 29 years,29205.0
1974,Male+,25 to 29 years,30232.0
1975,Male+,25 to 29 years,32330.0
1976,Male+,25 to 29 years,34474.0
1977,Male+,25 to 29 years,35998.0
1978,Male+,25 to 29 years,37498.0
1979,Male+,25 to 29 years,39330.0
1980,Male+,25 to 29 years,41054.0
1981,Male+,25 to 29 years,42310.0
1982,Male+,25 to 29 years,43609.0
1983,Male+,25 to 29 years,45035.0
1984,Male+,25 to 29 years,45972.0
1985,Male+,25 to 29 years,46590.0
1986,Male+,25 to 29 years,46810.0
1987,Male+,25 to 29 years,46967.0
1988,Male+,25 to 29 years,46593.0
1989,Male+,25 to 29 years,45075.0
1990,Male+,25 to 29 years,42576.0
1991,Male+,25 to 29 years,39679.0
1992,Male+,25 to 29 years,37588.0
1993,Male+,25 to 29 years,35511.0
1994,Male+,25 to 29 years,33926.0
1995,Male+,25 to 29 years,32766.0
1996,Male+,25 to 29 years,32855.0
1997,Male+,25 to 29 years,32515.0
1998,Male+,25 to 29 years,32324.0
1999,Male+,25 to 29 years,32035.0
2000,Male+,25 to 29 years,31824.0
2001,Male+,25 to 29 years,31315.0
2002,Male+,25 to 29 years,31122.0
2003,Male+,25 to 29 years,31356.0
2004,Male+,25 to 29 years,31898.0
2005,Male+,25 to 29 years,31915.0
2006,Male+,25 to 29 years,32282.0
2007,Male+,25 to 29 years,33327.0
2008,Male+,25 to 29 years,34771.0
2009,Male+,25 to 29 years,36566.0
2010,Male+,25 to 29 years,38163.0
2011,Male+,25 to 29 years,39337.0
2012,Male+,25 to 29 years,40980.0
2013,Male+,25 to 29 years,42582.0
2014,Male+,25 to 29 years,43431.0
2015,Male+,25 to 29 years,43846.0
2016,Male+,25 to 29 years,44149.0
2017,Male+,25 to 29 years,43845.0
2018,Male+,25 to 29 years,43279.0
2019,Male+,25 to 29 years,42634.0
2020,Male+,25 to 29 years,40780.0
2021,Male+,25 to 29 years,39402.0
2022,Male+,25 to 29 years,39363.0
2023,Male+,25 to 29 years,40408.0
1971,Male+,30 to 34 years,24221.0
1972,Male+,30 to 34 years,23822.0
1973,Male+,30 to 34 years,23847.0
1974,Male+,30 to 34 years,24205.0
1975,Male+,30 to 34 years,25309.0
1976,Male+,30 to 34 years,26746.0
1977,Male+,30 to 34 years,28846.0
1978,Male+,30 to 34 years,30269.0
1979,Male+,30 to 34 years,31684.0
1980,Male+,30 to 34 years,33323.0
1981,Male+,30 to 34 years,34860.0
1982,Male+,30 to 34 years,35973.0
1983,Male+,30 to 34 years,37596.0
1984,Male+,30 to 34 years,39518.0
1985,Male+,30 to 34 years,41333.0
1986,Male+,30 to 34 years,42663.0
1987,Male+,30 to 34 years,43850.0
1988,Male+,30 to 34 years,44017.0
1989,Male+,30 to 34 years,43574.0
1990,Male+,30 to 34 years,42747.0
1991,Male+,30 to 34 years,42145.0
1992,Male+,30 to 34 years,41609.0
1993,Male+,30 to 34 years,41273.0
1994,Male+,30 to 34 years,40723.0
1995,Male+,30 to 34 years,39873.0
1996,Male+,30 to 34 years,38485.0
1997,Male+,30 to 34 years,36937.0
1998,Male+,30 to 34 years,34904.0
1999,Male+,30 to 34 years,33094.0
2000,Male+,30 to 34 years,31352.0
2001,Male+,30 to 34 years,30441.0
2002,Male+,30 to 34 years,29838.0
2003,Male+,30 to 34 years,29643.0
2004,Male+,30 to 34 years,29380.0
2005,Male+,30 to 34 years,29241.0
2006,Male+,30 to 34 years,29191.0
2007,Male+,30 to 34 years,29908.0
2008,Male+,30 to 34 years,31128.0
2009,Male+,30 to 34 years,32873.0
2010,Male+,30 to 34 years,34398.0
2011,Male+,30 to 34 years,36020.0
2012,Male+,30 to 34 years,37515.0
2013,Male+,30 to 34 years,39040.0
2014,Male+,30 to 34 years,40427.0
2015,Male+,30 to 34 years,41482.0
2016,Male+,30 to 34 years,42431.0
2017,Male+,30 to 34 years,43288.0
2018,Male+,30 to 34 years,43451.0
2019,Male+,30 to 34 years,43207.0
2020,Male+,30 to 34 years,42803.0
2021,Male+,30 to 34 years,42200.0
2022,Male+,30 to 34 years,41939.0
2023,Male+,30 to 34 years,43090.0
1971,Male+,35 to 39 years,24931.0
1972,Male+,35 to 39 years,23838.0
1973,Male+,35 to 39 years,23051.0
1974,Male+,35 to 39 years,22471.0
1975,Male+,35 to 39 years,22532.0
1976,Male+,35 to 39 years,23120.0
1977,Male+,35 to 39 years,23770.0
1978,Male+,35 to 39 years,24523.0
1979,Male+,35 to 39 years,25203.0
1980,Male+,35 to 39 years,25989.0
1981,Male+,35 to 39 years,26735.0
1982,Male+,35 to 39 years,28670.0
1983,Male+,35 to 39 years,30351.0
1984,Male+,35 to 39 years,32029.0
1985,Male+,35 to 39 years,33755.0
1986,Male+,35 to 39 years,35046.0
1987,Male+,35 to 39 years,35766.0
1988,Male+,35 to 39 years,36744.0
1989,Male+,35 to 39 years,37668.0
1990,Male+,35 to 39 years,38529.0
1991,Male+,35 to 39 years,39468.0
1992,Male+,35 to 39 years,40373.0
1993,Male+,35 to 39 years,40874.0
1994,Male+,35 to 39 years,41016.0
1995,Male+,35 to 39 years,40969.0
1996,Male+,35 to 39 years,41098.0
1997,Male+,35 to 39 years,40739.0
1998,Male+,35 to 39 years,40635.0
1999,Male+,35 to 39 years,40199.0
2000,Male+,35 to 39 years,38960.0
2001,Male+,35 to 39 years,36969.0
2002,Male+,35 to 39 years,35191.0
2003,Male+,35 to 39 years,33187.0
2004,Male+,35 to 39 years,31622.0
2005,Male+,35 to 39 years,30174.0
2006,Male+,35 to 39 years,29513.0
2007,Male+,35 to 39 years,29443.0
2008,Male+,35 to 39 years,29929.0
2009,Male+,35 to 39 years,30589.0
2010,Male+,35 to 39 years,31524.0
2011,Male+,35 to 39 years,32355.0
2012,Male+,35 to 39 years,33478.0
2013,Male+,35 to 39 years,34887.0
2014,Male+,35 to 39 years,36226.0
2015,Male+,35 to 39 years,37273.0
2016,Male+,35 to 39 years,38509.0
2017,Male+,35 to 39 years,39838.0
2018,Male+,35 to 39 years,40926.0
2019,Male+,35 to 39 years,41622.0
2020,Male+,35 to 39 years,42295.0
2021,Male+,35 to 39 years,42383.0
2022,Male+,35 to 39 years,42871.0
2023,Male+,35 to 39 years,44862.0
1971,Male+,40 to 44 years,26167.0
1972,Male+,40 to 44 years,25334.0
1973,Male+,40 to 44 years,24519.0
1974,Male+,40 to 44 years,23816.0
1975,Male+,40 to 44 years,23563.0
1976,Male+,40 to 44 years,23443.0
1977,Male+,40 to 44 years,23213.0
1978,Male+,40 to 44 years,22973.0
1979,Male+,40 to 44 years,22879.0
1980,Male+,40 to 44 years,22902.0
1981,Male+,40 to 44 years,23262.0
1982,Male+,40 to 44 years,23575.0
1983,Male+,40 to 44 years,24308.0
1984,Male+,40 to 44 years,25120.0
1985,Male+,40 to 44 years,26097.0
1986,Male+,40 to 44 years,27021.0
1987,Male+,40 to 44 years,28630.0
1988,Male+,40 to 44 years,29565.0
1989,Male+,40 to 44 years,30577.0
1990,Male+,40 to 44 years,31632.0
1991,Male+,40 to 44 years,32704.0
1992,Male+,40 to 44 years,33195.0
1993,Male+,40 to 44 years,34303.0
1994,Male+,40 to 44 years,35586.0
1995,Male+,40 to 44 years,36961.0
1996,Male+,40 to 44 years,38184.0
1997,Male+,40 to 44 years,39191.0
1998,Male+,40 to 44 years,39874.0
1999,Male+,40 to 44 years,39989.0
2000,Male+,40 to 44 years,39881.0
2001,Male+,40 to 44 years,39725.0
2002,Male+,40 to 44 years,39225.0
2003,Male+,40 to 44 years,39157.0
2004,Male+,40 to 44 years,38753.0
2005,Male+,40 to 44 years,37919.0
2006,Male+,40 to 44 years,36534.0
2007,Male+,40 to 44 years,35294.0
2008,Male+,40 to 44 years,33897.0
2009,Male+,40 to 44 years,32877.0
2010,Male+,40 to 44 years,32108.0
2011,Male+,40 to 44 years,32036.0
2012,Male+,40 to 44 years,32545.0
2013,Male+,40 to 44 years,33004.0
2014,Male+,40 to 44 years,33407.0
2015,Male+,40 to 44 years,33762.0
2016,Male+,40 to 44 years,34423.0
2017,Male+,40 to 44 years,35267.0
2018,Male+,40 to 44 years,36287.0
2019,Male+,40 to 44 years,37518.0
2020,Male+,40 to 44 years,38419.0
2021,Male+,40 to 44 years,39296.0
2022,Male+,40 to 44 years,40280.0
2023,Male+,40 to 44 years,42539.0
1971,Male+,45 to 49 years,26296.0
1972,Male+,45 to 49 years,25545.0
1973,Male+,45 to 49 years,25025.0
1974,Male+,45 to 49 years,24495.0
1975,Male+,45 to 49 years,24301.0
1976,Male+,45 to 49 years,24258.0
1977,Male+,45 to 49 years,24160.0
1978,Male+,45 to 49 years,24033.0
1979,Male+,45 to 49 years,23641.0
1980,Male+,45 to 49 years,23337.0
1981,Male+,45 to 49 years,23000.0
1982,Male+,45 to 49 years,22644.0
1983,Male+,45 to 49 years,22477.0
1984,Male+,45 to 49 years,22437.0
1985,Male+,45 to 49 years,22401.0
1986,Male+,45 to 49 years,22625.0
1987,Male+,45 to 49 years,22969.0
1988,Male+,45 to 49 years,23549.0
1989,Male+,45 to 49 years,23880.0
1990,Male+,45 to 49 years,24395.0
1991,Male+,45 to 49 years,24876.0
1992,Male+,45 to 49 years,26502.0
1993,Male+,45 to 49 years,27672.0
1994,Male+,45 to 49 years,28930.0
1995,Male+,45 to 49 years,30349.0
1996,Male+,45 to 49 years,31523.0
1997,Male+,45 to 49 years,32169.0
1998,Male+,45 to 49 years,33214.0
1999,Male+,45 to 49 years,34467.0
2000,Male+,45 to 49 years,35641.0
2001,Male+,45 to 49 years,36614.0
2002,Male+,45 to 49 years,37551.0
2003,Male+,45 to 49 years,38128.0
2004,Male+,45 to 49 years,38362.0
2005,Male+,45 to 49 years,38150.0
2006,Male+,45 to 49 years,38134.0
2007,Male+,45 to 49 years,38717.0
2008,Male+,45 to 49 years,39742.0
2009,Male+,45 to 49 years,40190.0
2010,Male+,45 to 49 years,40143.0
2011,Male+,45 to 49 years,39032.0
2012,Male+,45 to 49 years,37715.0
2013,Male+,45 to 49 years,36090.0
2014,Male+,45 to 49 years,35048.0
2015,Male+,45 to 49 years,33935.0
2016,Male+,45 to 49 years,33701.0
2017,Male+,45 to 49 years,33593.0
2018,Male+,45 to 49 years,33710.0
2019,Male+,45 to 49 years,33623.0
2020,Male+,45 to 49 years,34021.0
2021,Male+,45 to 49 years,34368.0
2022,Male+,45 to 49 years,35070.0
2023,Male+,45 to 49 years,36692.0
1971,Male+,50 to 54 years,25046.0
1972,Male+,50 to 54 years,25002.0
1973,Male+,50 to 54 years,24863.0
1974,Male+,50 to 54 years,24846.0
1975,Male+,50 to 54 years,24628.0
1976,Male+,50 to 54 years,24620.0
1977,Male+,50 to 54 years,24304.0
1978,Male+,50 to 54 years,24188.0
1979,Male+,50 to 54 years,24061.0
1980,Male+,50 to 54 years,23975.0
1981,Male+,50 to 54 years,23878.0
1982,Male+,50 to 54 years,23713.0
1983,Male+,50 to 54 years,23531.0
1984,Male+,50 to 54 years,23083.0
1985,Male+,50 to 54 years,22736.0
1986,Male+,50 to 54 years,22404.0
1987,Male+,50 to 54 years,22083.0
1988,Male+,50 to 54 years,21783.0
1989,Male+,50 to 54 years,21626.0
1990,Male+,50 to 54 years,21417.0
1991,Male+,50 to 54 years,21494.0
1992,Male+,50 to 54 years,21710.0
1993,Male+,50 to 54 years,22205.0
1994,Male+,50 to 54 years,22715.0
1995,Male+,50 to 54 years,23351.0
1996,Male+,50 to 54 years,23956.0
1997,Male+,50 to 54 years,25482.0
1998,Male+,50 to 54 years,26677.0
1999,Male+,50 to 54 years,27982.0
2000,Male+,50 to 54 years,29212.0
2001,Male+,50 to 54 years,30274.0
2002,Male+,50 to 54 years,30855.0
2003,Male+,50 to 54 years,31934.0
2004,Male+,50 to 54 years,33202.0
2005,Male+,50 to 54 years,34472.0
2006,Male+,50 to 54 years,35540.0
2007,Male+,50 to 54 years,36936.0
2008,Male+,50 to 54 years,38134.0
2009,Male+,50 to 54 years,39175.0
2010,Male+,50 to 54 years,39838.0
2011,Male+,50 to 54 years,40760.0
2012,Male+,50 to 54 years,41082.0
2013,Male+,50 to 54 years,41380.0
2014,Male+,50 to 54 years,41136.0
2015,Male+,50 to 54 years,40424.0
2016,Male+,50 to 54 years,39110.0
2017,Male+,50 to 54 years,37584.0
2018,Male+,50 to 54 years,35544.0
2019,Male+,50 to 54 years,34309.0
2020,Male+,50 to 54 years,33044.0
2021,Male+,50 to 54 years,32639.0
2022,Male+,50 to 54 years,32693.0
2023,Male+,50 to 54 years,33128.0
1971,Male+,55 to 59 years,23676.0
1972,Male+,55 to 59 years,23546.0
1973,Male+,55 to 59 years,23230.0
1974,Male+,55 to 59 years,23007.0
1975,Male+,55 to 59 years,23040.0
1976,Male+,55 to 59 years,22982.0
1977,Male+,55 to 59 years,23346.0
1978,Male+,55 to 59 years,23560.0
1979,Male+,55 to 59 years,23772.0
1980,Male+,55 to 59 years,23552.0
1981,Male+,55 to 59 years,23479.0
1982,Male+,55 to 59 years,23276.0
1983,Male+,55 to 59 years,23183.0
1984,Male+,55 to 59 years,23046.0
1985,Male+,55 to 59 years,22977.0
1986,Male+,55 to 59 years,22856.0
1987,Male+,55 to 59 years,22714.0
1988,Male+,55 to 59 years,22556.0
1989,Male+,55 to 59 years,22038.0
1990,Male+,55 to 59 years,21663.0
1991,Male+,55 to 59 years,21352.0
1992,Male+,55 to 59 years,20970.0
1993,Male+,55 to 59 years,20730.0
1994,Male+,55 to 59 years,20609.0
1995,Male+,55 to 59 years,20527.0
1996,Male+,55 to 59 years,20687.0
1997,Male+,55 to 59 years,20865.0
1998,Male+,55 to 59 years,21343.0
1999,Male+,55 to 59 years,21780.0
2000,Male+,55 to 59 years,22325.0
2001,Male+,55 to 59 years,23010.0
2002,Male+,55 to 59 years,24480.0
2003,Male+,55 to 59 years,25651.0
2004,Male+,55 to 59 years,26908.0
2005,Male+,55 to 59 years,28210.0
2006,Male+,55 to 59 years,29290.0
2007,Male+,55 to 59 years,30103.0
2008,Male+,55 to 59 years,31390.0
2009,Male+,55 to 59 years,33111.0
2010,Male+,55 to 59 years,34845.0
2011,Male+,55 to 59 years,36426.0
2012,Male+,55 to 59 years,37675.0
2013,Male+,55 to 59 years,38749.0
2014,Male+,55 to 59 years,39311.0
2015,Male+,55 to 59 years,39411.0
2016,Male+,55 to 59 years,39526.0
2017,Male+,55 to 59 years,39630.0
2018,Male+,55 to 59 years,39925.0
2019,Male+,55 to 59 years,39668.0
2020,Male+,55 to 59 years,38807.0
2021,Male+,55 to 59 years,37243.0
2022,Male+,55 to 59 years,35698.0
2023,Male+,55 to 59 years,33957.0
1971,Male+,60 to 64 years,19893.0
1972,Male+,60 to 64 years,20233.0
1973,Male+,60 to 64 years,20476.0
1974,Male+,60 to 64 years,20740.0
1975,Male+,60 to 64 years,21235.0
1976,Male+,60 to 64 years,21385.0
1977,Male+,60 to 64 years,21420.0
1978,Male+,60 to 64 years,21381.0
1979,Male+,60 to 64 years,21369.0
1980,Male+,60 to 64 years,21493.0
1981,Male+,60 to 64 years,21494.0
1982,Male+,60 to 64 years,21673.0
1983,Male+,60 to 64 years,21896.0
1984,Male+,60 to 64 years,22194.0
1985,Male+,60 to 64 years,22010.0
1986,Male+,60 to 64 years,21866.0
1987,Male+,60 to 64 years,21759.0
1988,Male+,60 to 64 years,21673.0
1989,Male+,60 to 64 years,21572.0
1990,Male+,60 to 64 years,21436.0
