year,gender,age,value
2015,Total - gender,0 to 4 years,74893.0
2016,Total - gender,0 to 4 years,76046.0
2017,Total - gender,0 to 4 years,76794.0
2018,Total - gender,0 to 4 years,76857.0
2019,Total - gender,0 to 4 years,75769.0
2020,Total - gender,0 to 4 years,74255.0
2021,Total - gender,0 to 4 years,72315.0
2022,Total - gender,0 to 4 years,70895.0
2023,Total - gender,0 to 4 years,70362.0
1971,Total - gender,5 to 9 years,98948.0
1972,Total - gender,5 to 9 years,93350.0
1973,Total - gender,5 to 9 years,87185.0
1974,Total - gender,5 to 9 years,82058.0
1975,Total - gender,5 to 9 years,79113.0
1976,Total - gender,5 to 9 years,78511.0
1977,Total - gender,5 to 9 years,78204.0
1978,Total - gender,5 to 9 years,78060.0
1979,Total - gender,5 to 9 years,77467.0
1980,Total - gender,5 to 9 years,77419.0
1981,Total - gender,5 to 9 years,77702.0
1982,Total - gender,5 to 9 years,78414.0
1983,Total - gender,5 to 9 years,79335.0
1984,Total - gender,5 to 9 years,81005.0
1985,Total - gender,5 to 9 years,82494.0
1986,Total - gender,5 to 9 years,83313.0
1987,Total - gender,5 to 9 years,83692.0
1988,Total - gender,5 to 9 years,83671.0
1989,Total - gender,5 to 9 years,83109.0
1990,Total - gender,5 to 9 years,82043.0
1991,Total - gender,5 to 9 years,81663.0
1992,Total - gender,5 to 9 years,80888.0
1993,Total - gender,5 to 9 years,79832.0
1994,Total - gender,5 to 9 years,79438.0
1995,Total - gender,5 to 9 years,79573.0
1996,Total - gender,5 to 9 years,79009.0
1997,Total - gender,5 to 9 years,78217.0
1998,Total - gender,5 to 9 years,77460.0
1999,Total - gender,5 to 9 years,75439.0
2000,Total - gender,5 to 9 years,72665.0
2001,Total - gender,5 to 9 years,70058.0
2002,Total - gender,5 to 9 years,68130.0
2003,Total - gender,5 to 9 years,66130.0
2004,Total - gender,5 to 9 years,64533.0
2005,Total - gender,5 to 9 years,62866.0
2006,Total - gender,5 to 9 years,61602.0
2007,Total - gender,5 to 9 years,61398.0
2008,Total - gender,5 to 9 years,61617.0
2009,Total - gender,5 to 9 years,62386.0
2010,Total - gender,5 to 9 years,62750.0
2011,Total - gender,5 to 9 years,63887.0
2012,Total - gender,5 to 9 years,65981.0
2013,Total - gender,5 to 9 years,68479.0
2014,Total - gender,5 to 9 years,70446.0
2015,Total - gender,5 to 9 years,72703.0
2016,Total - gender,5 to 9 years,74902.0
2017,Total - gender,5 to 9 years,76216.0
2018,Total - gender,5 to 9 years,76979.0
2019,Total - gender,5 to 9 years,77451.0
2020,Total - gender,5 to 9 years,77673.0
2021,Total - gender,5 to 9 years,77348.0
2022,Total - gender,5 to 9 years,77942.0
2023,Total - gender,5 to 9 years,79886.0
1971,Total - gender,10 to 14 years,102426.0
1972,Total - gender,10 to 14 years,101125.0
1973,Total - gender,10 to 14 years,100584.0
1974,Total - gender,10 to 14 years,99733.0
1975,Total - gender,10 to 14 years,98167.0
1976,Total - gender,10 to 14 years,95491.0
1977,Total - gender,10 to 14 years,92859.0
1978,Total - gender,10 to 14 years,88704.0
1979,Total - gender,10 to 14 years,84646.0
1980,Total - gender,10 to 14 years,81428.0
1981,Total - gender,10 to 14 years,79913.0
1982,Total - gender,10 to 14 years,79630.0
1983,Total - gender,10 to 14 years,79680.0
1984,Total - gender,10 to 14 years,78990.0
1985,Total - gender,10 to 14 years,78786.0
1986,Total - gender,10 to 14 years,78302.0
1987,Total - gender,10 to 14 years,78968.0
1988,Total - gender,10 to 14 years,78878.0
1989,Total - gender,10 to 14 years,78826.0
1990,Total - gender,10 to 14 years,78435.0
1991,Total - gender,10 to 14 years,78435.0
1992,Total - gender,10 to 14 years,79245.0
1993,Total - gender,10 to 14 years,80372.0
1994,Total - gender,10 to 14 years,80812.0
1995,Total - gender,10 to 14 years,80869.0
1996,Total - gender,10 to 14 years,80897.0
1997,Total - gender,10 to 14 years,80886.0
1998,Total - gender,10 to 14 years,80359.0
1999,Total - gender,10 to 14 years,79619.0
2000,Total - gender,10 to 14 years,78804.0
2001,Total - gender,10 to 14 years,77345.0
2002,Total - gender,10 to 14 years,76642.0
2003,Total - gender,10 to 14 years,75882.0
2004,Total - gender,10 to 14 years,74211.0
2005,Total - gender,10 to 14 years,71806.0
2006,Total - gender,10 to 14 years,69621.0
2007,Total - gender,10 to 14 years,68746.0
2008,Total - gender,10 to 14 years,67973.0
2009,Total - gender,10 to 14 years,67307.0
2010,Total - gender,10 to 14 years,66853.0
2011,Total - gender,10 to 14 years,66285.0
2012,Total - gender,10 to 14 years,66310.0
2013,Total - gender,10 to 14 years,66579.0
2014,Total - gender,10 to 14 years,67489.0
2015,Total - gender,10 to 14 years,67435.0
2016,Total - gender,10 to 14 years,68835.0
2017,Total - gender,10 to 14 years,70103.0
2018,Total - gender,10 to 14 years,72162.0
2019,Total - gender,10 to 14 years,73886.0
2020,Total - gender,10 to 14 years,75770.0
2021,Total - gender,10 to 14 years,76912.0
2022,Total - gender,10 to 14 years,78267.0
2023,Total - gender,10 to 14 years,80571.0
1971,Total - gender,15 to 19 years,96393.0
1972,Total - gender,15 to 19 years,96244.0
1973,Total - gender,15 to 19 years,95270.0
1974,Total - gender,15 to 19 years,95008.0
1975,Total - gender,15 to 19 years,95991.0
1976,Total - gender,15 to 19 years,97782.0
1977,Total - gender,15 to 19 years,97935.0
1978,Total - gender,15 to 19 years,98119.0
1979,Total - gender,15 to 19 years,97907.0
1980,Total - gender,15 to 19 years,97276.0
1981,Total - gender,15 to 19 years,95438.0
1982,Total - gender,15 to 19 years,92259.0
1983,Total - gender,15 to 19 years,88516.0
1984,Total - gender,15 to 19 years,84835.0
1985,Total - gender,15 to 19 years,81644.0
1986,Total - gender,15 to 19 years,79977.0
1987,Total - gender,15 to 19 years,78458.0
1988,Total - gender,15 to 19 years,76929.0
1989,Total - gender,15 to 19 years,75248.0
1990,Total - gender,15 to 19 years,74289.0
1991,Total - gender,15 to 19 years,74134.0
1992,Total - gender,15 to 19 years,74600.0
1993,Total - gender,15 to 19 years,75034.0
1994,Total - gender,15 to 19 years,76365.0
1995,Total - gender,15 to 19 years,77928.0
1996,Total - gender,15 to 19 years,79328.0
1997,Total - gender,15 to 19 years,78863.0
1998,Total - gender,15 to 19 years,79124.0
1999,Total - gender,15 to 19 years,79422.0
2000,Total - gender,15 to 19 years,79595.0
2001,Total - gender,15 to 19 years,79818.0
2002,Total - gender,15 to 19 years,79189.0
2003,Total - gender,15 to 19 years,78196.0
2004,Total - gender,15 to 19 years,77868.0
2005,Total - gender,15 to 19 years,77656.0
2006,Total - gender,15 to 19 years,77318.0
2007,Total - gender,15 to 19 years,76966.0
2008,Total - gender,15 to 19 years,76759.0
2009,Total - gender,15 to 19 years,76015.0
2010,Total - gender,15 to 19 years,74864.0
2011,Total - gender,15 to 19 years,73645.0
2012,Total - gender,15 to 19 years,72555.0
2013,Total - gender,15 to 19 years,71158.0
2014,Total - gender,15 to 19 years,70379.0
2015,Total - gender,15 to 19 years,70531.0
2016,Total - gender,15 to 19 years,70467.0
2017,Total - gender,15 to 19 years,69805.0
2018,Total - gender,15 to 19 years,69433.0
2019,Total - gender,15 to 19 years,69892.0
2020,Total - gender,15 to 19 years,69405.0
2021,Total - gender,15 to 19 years,69652.0
2022,Total - gender,15 to 19 years,71641.0
2023,Total - gender,15 to 19 years,75464.0
1971,Total - gender,20 to 24 years,70537.0
1972,Total - gender,20 to 24 years,71166.0
1973,Total - gender,20 to 24 years,72735.0
1974,Total - gender,20 to 24 years,75883.0
1975,Total - gender,20 to 24 years,80206.0
1976,Total - gender,20 to 24 years,84364.0
1977,Total - gender,20 to 24 years,88135.0
1978,Total - gender,20 to 24 years,90052.0
1979,Total - gender,20 to 24 years,90777.0
1980,Total - gender,20 to 24 years,91030.0
1981,Total - gender,20 to 24 years,91232.0
1982,Total - gender,20 to 24 years,91950.0
1983,Total - gender,20 to 24 years,94986.0
1984,Total - gender,20 to 24 years,97356.0
1985,Total - gender,20 to 24 years,97691.0
1986,Total - gender,20 to 24 years,94700.0
1987,Total - gender,20 to 24 years,89708.0
1988,Total - gender,20 to 24 years,82869.0
1989,Total - gender,20 to 24 years,76140.0
1990,Total - gender,20 to 24 years,70013.0
1991,Total - gender,20 to 24 years,67272.0
1992,Total - gender,20 to 24 years,66926.0
1993,Total - gender,20 to 24 years,67249.0
1994,Total - gender,20 to 24 years,67287.0
1995,Total - gender,20 to 24 years,68203.0
1996,Total - gender,20 to 24 years,69310.0
1997,Total - gender,20 to 24 years,70132.0
1998,Total - gender,20 to 24 years,70389.0
1999,Total - gender,20 to 24 years,71128.0
2000,Total - gender,20 to 24 years,70586.0
2001,Total - gender,20 to 24 years,70282.0
2002,Total - gender,20 to 24 years,70778.0
2003,Total - gender,20 to 24 years,72267.0
2004,Total - gender,20 to 24 years,73686.0
2005,Total - gender,20 to 24 years,73296.0
2006,Total - gender,20 to 24 years,72659.0
2007,Total - gender,20 to 24 years,73463.0
2008,Total - gender,20 to 24 years,74724.0
2009,Total - gender,20 to 24 years,76610.0
2010,Total - gender,20 to 24 years,78272.0
2011,Total - gender,20 to 24 years,78936.0
2012,Total - gender,20 to 24 years,79306.0
2013,Total - gender,20 to 24 years,79744.0
2014,Total - gender,20 to 24 years,78666.0
2015,Total - gender,20 to 24 years,77215.0
2016,Total - gender,20 to 24 years,75805.0
2017,Total - gender,20 to 24 years,75219.0
2018,Total - gender,20 to 24 years,74116.0
2019,Total - gender,20 to 24 years,73674.0
2020,Total - gender,20 to 24 years,72843.0
2021,Total - gender,20 to 24 years,71911.0
2022,Total - gender,20 to 24 years,72769.0
2023,Total - gender,20 to 24 years,75585.0
1971,Total - gender,25 to 29 years,54065.0
1972,Total - gender,25 to 29 years,55677.0
1973,Total - gender,25 to 29 years,56770.0
1974,Total - gender,25 to 29 years,58768.0
1975,Total - gender,25 to 29 years,62667.0
1976,Total - gender,25 to 29 years,66723.0
1977,Total - gender,25 to 29 years,69477.0
1978,Total - gender,25 to 29 years,72417.0
1979,Total - gender,25 to 29 years,75942.0
1980,Total - gender,25 to 29 years,79654.0
1981,Total - gender,25 to 29 years,82575.0
1982,Total - gender,25 to 29 years,85658.0
1983,Total - gender,25 to 29 years,88554.0
1984,Total - gender,25 to 29 years,90437.0
1985,Total - gender,25 to 29 years,91450.0
1986,Total - gender,25 to 29 years,91597.0
1987,Total - gender,25 to 29 years,92121.0
1988,Total - gender,25 to 29 years,91821.0
1989,Total - gender,25 to 29 years,89117.0
1990,Total - gender,25 to 29 years,84287.0
1991,Total - gender,25 to 29 years,78950.0
1992,Total - gender,25 to 29 years,74612.0
1993,Total - gender,25 to 29 years,70379.0
1994,Total - gender,25 to 29 years,66986.0
1995,Total - gender,25 to 29 years,64827.0
1996,Total - gender,25 to 29 years,64595.0
1997,Total - gender,25 to 29 years,64052.0
1998,Total - gender,25 to 29 years,63879.0
1999,Total - gender,25 to 29 years,63102.0
2000,Total - gender,25 to 29 years,62457.0
2001,Total - gender,25 to 29 years,61692.0
2002,Total - gender,25 to 29 years,61427.0
2003,Total - gender,25 to 29 years,61586.0
2004,Total - gender,25 to 29 years,62834.0
2005,Total - gender,25 to 29 years,63310.0
2006,Total - gender,25 to 29 years,63984.0
2007,Total - gender,25 to 29 years,65678.0
2008,Total - gender,25 to 29 years,68461.0
2009,Total - gender,25 to 29 years,71918.0
2010,Total - gender,25 to 29 years,75256.0
2011,Total - gender,25 to 29 years,77962.0
2012,Total - gender,25 to 29 years,80720.0
2013,Total - gender,25 to 29 years,82640.0
2014,Total - gender,25 to 29 years,83689.0
2015,Total - gender,25 to 29 years,84224.0
2016,Total - gender,25 to 29 years,84461.0
2017,Total - gender,25 to 29 years,84048.0
2018,Total - gender,25 to 29 years,83001.0
2019,Total - gender,25 to 29 years,81499.0
2020,Total - gender,25 to 29 years,78463.0
2021,Total - gender,25 to 29 years,75837.0
2022,Total - gender,25 to 29 years,75550.0
2023,Total - gender,25 to 29 years,77655.0
1971,Total - gender,30 to 34 years,47839.0
1972,Total - gender,30 to 34 years,47149.0
1973,Total - gender,30 to 34 years,47161.0
1974,Total - gender,30 to 34 years,47778.0
1975,Total - gender,30 to 34 years,49749.0
1976,Total - gender,30 to 34 years,52202.0
1977,Total - gender,30 to 34 years,56106.0
1978,Total - gender,30 to 34 years,58707.0
1979,Total - gender,30 to 34 years,61588.0
1980,Total - gender,30 to 34 years,64981.0
1981,Total - gender,30 to 34 years,68084.0
1982,Total - gender,30 to 34 years,69956.0
1983,Total - gender,30 to 34 years,72992.0
1984,Total - gender,30 to 34 years,76789.0
1985,Total - gender,30 to 34 years,80511.0
1986,Total - gender,30 to 34 years,83245.0
1987,Total - gender,30 to 34 years,85712.0
1988,Total - gender,30 to 34 years,86310.0
1989,Total - gender,30 to 34 years,85616.0
1990,Total - gender,30 to 34 years,84041.0
1991,Total - gender,30 to 34 years,83251.0
1992,Total - gender,30 to 34 years,82556.0
1993,Total - gender,30 to 34 years,82304.0
1994,Total - gender,30 to 34 years,81368.0
1995,Total - gender,30 to 34 years,79676.0
1996,Total - gender,30 to 34 years,76956.0
1997,Total - gender,30 to 34 years,73517.0
1998,Total - gender,30 to 34 years,69521.0
1999,Total - gender,30 to 34 years,65764.0
2000,Total - gender,30 to 34 years,62330.0
2001,Total - gender,30 to 34 years,60267.0
2002,Total - gender,30 to 34 years,59228.0
2003,Total - gender,30 to 34 years,58980.0
2004,Total - gender,30 to 34 years,58302.0
2005,Total - gender,30 to 34 years,57869.0
2006,Total - gender,30 to 34 years,57958.0
2007,Total - gender,30 to 34 years,59483.0
2008,Total - gender,30 to 34 years,61418.0
2009,Total - gender,30 to 34 years,64299.0
2010,Total - gender,30 to 34 years,66836.0
2011,Total - gender,30 to 34 years,69255.0
2012,Total - gender,30 to 34 years,72601.0
2013,Total - gender,30 to 34 years,76237.0
2014,Total - gender,30 to 34 years,79238.0
2015,Total - gender,30 to 34 years,81315.0
2016,Total - gender,30 to 34 years,83218.0
2017,Total - gender,30 to 34 years,84696.0
2018,Total - gender,30 to 34 years,84706.0
2019,Total - gender,30 to 34 years,84506.0
2020,Total - gender,30 to 34 years,84038.0
2021,Total - gender,30 to 34 years,82872.0
2022,Total - gender,30 to 34 years,82235.0
2023,Total - gender,30 to 34 years,84489.0
1971,Total - gender,35 to 39 years,48605.0
1972,Total - gender,35 to 39 years,46730.0
1973,Total - gender,35 to 39 years,45308.0
1974,Total - gender,35 to 39 years,44191.0
1975,Total - gender,35 to 39 years,44367.0
1976,Total - gender,35 to 39 years,45626.0
1977,Total - gender,35 to 39 years,46836.0
1978,Total - gender,35 to 39 years,48123.0
1979,Total - gender,35 to 39 years,49426.0
1980,Total - gender,35 to 39 years,50894.0
1981,Total - gender,35 to 39 years,52271.0
1982,Total - gender,35 to 39 years,56056.0
1983,Total - gender,35 to 39 years,59171.0
1984,Total - gender,35 to 39 years,62431.0
1985,Total - gender,35 to 39 years,65719.0
1986,Total - gender,35 to 39 years,68053.0
1987,Total - gender,35 to 39 years,69270.0
1988,Total - gender,35 to 39 years,71144.0
1989,Total - gender,35 to 39 years,73192.0
1990,Total - gender,35 to 39 years,75055.0
1991,Total - gender,35 to 39 years,77064.0
1992,Total - gender,35 to 39 years,78978.0
1993,Total - gender,35 to 39 years,80232.0
1994,Total - gender,35 to 39 years,80797.0
1995,Total - gender,35 to 39 years,81119.0
1996,Total - gender,35 to 39 years,81338.0
1997,Total - gender,35 to 39 years,81000.0
1998,Total - gender,35 to 39 years,80951.0
1999,Total - gender,35 to 39 years,80073.0
2000,Total - gender,35 to 39 years,77731.0
2001,Total - gender,35 to 39 years,74005.0
2002,Total - gender,35 to 39 years,70370.0
2003,Total - gender,35 to 39 years,66378.0
2004,Total - gender,35 to 39 years,63070.0
2005,Total - gender,35 to 39 years,60104.0
2006,Total - gender,35 to 39 years,58685.0
2007,Total - gender,35 to 39 years,58664.0
2008,Total - gender,35 to 39 years,59564.0
2009,Total - gender,35 to 39 years,60454.0
2010,Total - gender,35 to 39 years,61954.0
2011,Total - gender,35 to 39 years,63494.0
2012,Total - gender,35 to 39 years,65709.0
2013,Total - gender,35 to 39 years,68020.0
2014,Total - gender,35 to 39 years,70649.0
2015,Total - gender,35 to 39 years,72896.0
2016,Total - gender,35 to 39 years,75545.0
2017,Total - gender,35 to 39 years,77973.0
2018,Total - gender,35 to 39 years,80380.0
2019,Total - gender,35 to 39 years,81946.0
2020,Total - gender,35 to 39 years,83206.0
2021,Total - gender,35 to 39 years,83550.0
2022,Total - gender,35 to 39 years,84926.0
2023,Total - gender,35 to 39 years,88526.0
1971,Total - gender,40 to 44 years,50967.0
1972,Total - gender,40 to 44 years,49469.0
1973,Total - gender,40 to 44 years,47996.0
1974,Total - gender,40 to 44 years,46874.0
1975,Total - gender,40 to 44 years,46155.0
1976,Total - gender,40 to 44 years,46011.0
1977,Total - gender,40 to 44 years,45569.0
1978,Total - gender,40 to 44 years,45194.0
1979,Total - gender,40 to 44 years,44954.0
1980,Total - gender,40 to 44 years,45120.0
1981,Total - gender,40 to 44 years,45988.0
1982,Total - gender,40 to 44 years,46617.0
1983,Total - gender,40 to 44 years,47944.0
1984,Total - gender,40 to 44 years,49489.0
1985,Total - gender,40 to 44 years,51205.0
1986,Total - gender,40 to 44 years,52774.0
1987,Total - gender,40 to 44 years,55907.0
1988,Total - gender,40 to 44 years,57729.0
1989,Total - gender,40 to 44 years,59740.0
1990,Total - gender,40 to 44 years,61857.0
1991,Total - gender,40 to 44 years,63927.0
1992,Total - gender,40 to 44 years,64799.0
1993,Total - gender,40 to 44 years,66834.0
1994,Total - gender,40 to 44 years,69433.0
1995,Total - gender,40 to 44 years,72315.0
1996,Total - gender,40 to 44 years,74869.0
1997,Total - gender,40 to 44 years,76933.0
1998,Total - gender,40 to 44 years,78557.0
1999,Total - gender,40 to 44 years,79067.0
2000,Total - gender,40 to 44 years,78910.0
2001,Total - gender,40 to 44 years,78603.0
2002,Total - gender,40 to 44 years,78062.0
2003,Total - gender,40 to 44 years,78097.0
2004,Total - gender,40 to 44 years,77497.0
2005,Total - gender,40 to 44 years,75836.0
2006,Total - gender,40 to 44 years,73219.0
2007,Total - gender,40 to 44 years,70386.0
2008,Total - gender,40 to 44 years,67307.0
2009,Total - gender,40 to 44 years,64928.0
2010,Total - gender,40 to 44 years,63255.0
2011,Total - gender,40 to 44 years,63012.0
2012,Total - gender,40 to 44 years,63949.0
2013,Total - gender,40 to 44 years,64963.0
2014,Total - gender,40 to 44 years,65645.0
2015,Total - gender,40 to 44 years,66366.0
2016,Total - gender,40 to 44 years,67778.0
2017,Total - gender,40 to 44 years,69511.0
2018,Total - gender,40 to 44 years,71129.0
2019,Total - gender,40 to 44 years,73259.0
2020,Total - gender,40 to 44 years,74976.0
2021,Total - gender,40 to 44 years,76482.0
2022,Total - gender,40 to 44 years,78601.0
2023,Total - gender,40 to 44 years,83317.0
1971,Total - gender,45 to 49 years,52223.0
1972,Total - gender,45 to 49 years,50669.0
1973,Total - gender,45 to 49 years,49799.0
1974,Total - gender,45 to 49 years,48698.0
1975,Total - gender,45 to 49 years,48232.0
1976,Total - gender,45 to 49 years,47963.0
1977,Total - gender,45 to 49 years,47683.0
1978,Total - gender,45 to 49 years,47260.0
1979,Total - gender,45 to 49 years,46682.0
1980,Total - gender,45 to 49 years,45851.0
1981,Total - gender,45 to 49 years,45301.0
1982,Total - gender,45 to 49 years,44765.0
1983,Total - gender,45 to 49 years,44523.0
1984,Total - gender,45 to 49 years,44420.0
1985,Total - gender,45 to 49 years,44406.0
1986,Total - gender,45 to 49 years,45039.0
1987,Total - gender,45 to 49 years,45683.0
1988,Total - gender,45 to 49 years,46628.0
1989,Total - gender,45 to 49 years,47412.0
1990,Total - gender,45 to 49 years,48298.0
1991,Total - gender,45 to 49 years,49261.0
1992,Total - gender,45 to 49 years,52343.0
1993,Total - gender,45 to 49 years,54569.0
1994,Total - gender,45 to 49 years,57089.0
1995,Total - gender,45 to 49 years,59861.0
1996,Total - gender,45 to 49 years,62032.0
1997,Total - gender,45 to 49 years,63136.0
1998,Total - gender,45 to 49 years,65033.0
1999,Total - gender,45 to 49 years,67635.0
2000,Total - gender,45 to 49 years,70189.0
2001,Total - gender,45 to 49 years,72260.0
2002,Total - gender,45 to 49 years,74274.0
2003,Total - gender,45 to 49 years,75770.0
2004,Total - gender,45 to 49 years,76449.0
2005,Total - gender,45 to 49 years,76253.0
2006,Total - gender,45 to 49 years,76204.0
2007,Total - gender,45 to 49 years,77086.0
2008,Total - gender,45 to 49 years,78662.0
2009,Total - gender,45 to 49 years,79240.0
2010,Total - gender,45 to 49 years,78758.0
2011,Total - gender,45 to 49 years,76667.0
2012,Total - gender,45 to 49 years,74003.0
2013,Total - gender,45 to 49 years,70737.0
2014,Total - gender,45 to 49 years,68346.0
2015,Total - gender,45 to 49 years,66205.0
2016,Total - gender,45 to 49 years,65821.0
2017,Total - gender,45 to 49 years,65945.0
2018,Total - gender,45 to 49 years,66514.0
2019,Total - gender,45 to 49 years,66618.0
2020,Total - gender,45 to 49 years,67204.0
2021,Total - gender,45 to 49 years,67823.0
2022,Total - gender,45 to 49 years,69077.0
2023,Total - gender,45 to 49 years,71789.0
1971,Total - gender,50 to 54 years,49888.0
1972,Total - gender,50 to 54 years,50091.0
1973,Total - gender,50 to 54 years,49752.0
1974,Total - gender,50 to 54 years,49688.0
1975,Total - gender,50 to 54 years,49402.0
1976,Total - gender,50 to 54 years,49250.0
1977,Total - gender,50 to 54 years,48577.0
1978,Total - gender,50 to 54 years,48461.0
1979,Total - gender,50 to 54 years,48038.0
1980,Total - gender,50 to 54 years,47708.0
1981,Total - gender,50 to 54 years,47339.0
1982,Total - gender,50 to 54 years,46986.0
1983,Total - gender,50 to 54 years,46561.0
1984,Total - gender,50 to 54 years,45903.0
1985,Total - gender,50 to 54 years,45092.0
1986,Total - gender,50 to 54 years,44454.0
1987,Total - gender,50 to 54 years,43871.0
1988,Total - gender,50 to 54 years,43417.0
1989,Total - gender,50 to 54 years,43032.0
1990,Total - gender,50 to 54 years,42668.0
1991,Total - gender,50 to 54 years,43043.0
1992,Total - gender,50 to 54 years,43537.0
1993,Total - gender,50 to 54 years,44437.0
1994,Total - gender,50 to 54 years,45496.0
1995,Total - gender,50 to 54 years,46706.0
1996,Total - gender,50 to 54 years,47854.0
1997,Total - gender,50 to 54 years,50667.0
1998,Total - gender,50 to 54 years,52875.0
1999,Total - gender,50 to 54 years,55408.0
2000,Total - gender,50 to 54 years,57863.0
2001,Total - gender,50 to 54 years,60031.0
2002,Total - gender,50 to 54 years,60997.0
2003,Total - gender,50 to 54 years,62906.0
2004,Total - gender,50 to 54 years,65511.0
2005,Total - gender,50 to 54 years,68280.0
2006,Total - gender,50 to 54 years,70654.0
2007,Total - gender,50 to 54 years,73352.0
2008,Total - gender,50 to 54 years,75672.0
2009,Total - gender,50 to 54 years,77367.0
2010,Total - gender,50 to 54 years,78367.0
2011,Total - gender,50 to 54 years,79429.0
2012,Total - gender,50 to 54 years,80074.0
2013,Total - gender,50 to 54 years,80724.0
2014,Total - gender,50 to 54 years,80571.0
2015,Total - gender,50 to 54 years,79369.0
2016,Total - gender,50 to 54 years,77021.0
2017,Total - gender,50 to 54 years,73981.0
2018,Total - gender,50 to 54 years,70186.0
2019,Total - gender,50 to 54 years,67490.0
2020,Total - gender,50 to 54 years,65280.0
2021,Total - gender,50 to 54 years,64656.0
2022,Total - gender,50 to 54 years,64806.0
2023,Total - gender,50 to 54 years,65750.0
1971,Total - gender,55 to 59 years,46836.0
1972,Total - gender,55 to 59 years,46708.0
1973,Total - gender,55 to 59 years,46423.0
1974,Total - gender,55 to 59 years,45981.0
1975,Total - gender,55 to 59 years,46243.0
1976,Total - gender,55 to 59 years,46500.0
1977,Total - gender,55 to 59 years,47374.0
